Sex,Treapta,Profil,Clasa(L),Clasa(G),Age,GO OUT,Study time,Trip time,Location,Mom ed,Dad ed,School sup,Mom job,Dad job,Failiures,Health,Attendance,School extra,University,Weekly alcohol,Weekend alcohol,Parents,Internet,Relationship,Grade
feminin,Gimnaziu,,,9,15,5,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,profesoară,antreprenor,0,4,19,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,9
feminin,Liceu,Uman,11,,17,5,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,0,Nu,Da,1,3,Trăiesc împreună,Da,Da,8
feminin,Liceu,Uman,11,,17,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,3,8,Nu,Da,1,3,Trăiesc împreună,Da,Nu,7.37
feminin,Liceu,Uman,11,,17,1,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,servicii civile,0,5,0,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.66
feminin,Liceu,Uman,11,,17,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Nu,altceva,altceva,0,5,15,Nu,Da,1,1,Trăiesc împreună,Da,Da,"8,70"
masculin,Gimnaziu,,,5,11,2,2 - 5 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,profesoară,servicii civile,0,4,20,Nu,Da,,,Trăiesc împreună,Da,Nu,"9,61"
feminin,Gimnaziu,,,8,14,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,4,2,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,10
masculin,Gimnaziu,,,6,12,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,antreprenor,0,5,7,Nu,Da,,,Trăiesc împreună,Da,Nu,"9,51"
masculin,Liceu,Uman,12,,18,2,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,altceva,altceva,0,5,212,Nu,Da,1,1,Trăiesc împreună,Da,Nu,8:765
masculin,Gimnaziu,,,6,12,4,5 - 10 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)",lipsă,Da,acasă,altceva,3+,5,7,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Nu,7.3
masculin,Liceu,Real,12,,18,5,mai puțin de 2 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,legat de medicină,legat de medicină,3+,4,58,Nu,Nu,4,5,Trăiesc împreună,Da,Da,"5,63"
masculin,Gimnaziu,,,7,13,4,mai mult de 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Nu,servicii civile,antreprenor,0,5,2,Nu,Da,,,Trăiesc împreună,Da,Nu,9.82
masculin,Gimnaziu,,,9,15,3,mai mult de 15 ore,mai puțin de 15 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,legat de medicină,0,5,0,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,10
masculin,Liceu,Real,10,,10,3,mai mult de 15 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,legat de medicină,0,5,1,Nu,Da,1,1,Trăiesc împreună,Da,Nu,9.67
masculin,Gimnaziu,,,7,13,3,mai mult de 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,5,1,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Da,"9,51"
feminin,Liceu,Real,11,,17,3,10 - 15 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,legat de medicină,altceva,0,5,2,Nu,Da,1,2,Trăiesc împreună,Da,Da,"9,72"
feminin,Gimnaziu,,,8,14,3,2 - 5 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,antreprenor,altceva,0,4,17,"Da, 1 obiect",Da,,,Trăiesc împreună,Da,Da,"7,98"
masculin,Liceu,Uman,12,,18,5,mai puțin de 2 ore,15 - 30 minute,Urban,educație liceală (clasa 9-12),educație liceală (clasa 9-12),Da,servicii civile,servicii civile,0,5,20,Nu,Da,1,5,Trăiesc împreună,Da,Nu,7.15
feminin,Gimnaziu,,,9,15,5,5 - 10 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,altceva,0,4,5,"Da, 2 obiecte",Da,,,Trăiesc separat,Da,Nu,"8,25"
feminin,Gimnaziu,,,5,11,3,10 - 15 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,5,0,"Da, 2 obiecte",Da,,,Trăiesc împreună,Da,Nu,9.8
feminin,Gimnaziu,,,7,13,2,2 - 5 ore,15 - 30 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,servicii civile,0,4,3,Nu,Da,,,Trăiesc împreună,Da,Nu,8.94
feminin,Gimnaziu,,,6,12,2,2 - 5 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,profesoară,0,4,0,Nu,Da,,,Trăiesc împreună,Da,Nu,9.62
feminin,Gimnaziu,,,8,15,4,5 - 10 ore,mai puțin de 15 minute,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,altceva,antreprenor,0,4,18,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,8.41
feminin,Gimnaziu,,,5,10,3,10 - 15 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)",educație liceală (clasa 9-12),Da,acasă,altceva,0,5,10,Nu,Da,,,Trăiesc împreună,Da,Nu,"8,67"
masculin,Gimnaziu,,,5,11,3,5 - 10 ore,15 - 30 minute,Rural,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,acasă,altceva,0,5,6,"Da, 3+ obiecte",Da,,,Trăiesc împreună,Da,Nu,"8,53"
masculin,Gimnaziu,,,5,11,2,10 - 15 ore,30 minute - 1 oră,Urban,"educație superioară (universitate, masterat etc.)","educație superioară (universitate, masterat etc.)",Da,antreprenor,altceva,0,5,1,Nu,Da,,,Trăiesc împreună,Da,Nu,"9,34"
